30 7 1000000
1 wtqrhdwugf 108.72 3
1 mcknmhvrse 99.87 1
2 sithisaqzj 107.79 2
2 egrdatwxej 59.41 1
2 vpokqzobxx 102.20 4
2 sunzyaqtct 50.00 3
2 dfvzirnxfa 58.62 1
2 ejkyymuixe 55.14 5
3 ydcgdsxjbg 101.75 4
3 kpbslhlwei 73.78 4
4 ncmlvvwjdm 136.40 2
5 sbghvlkvca 71.67 5
5 kcqiausafb 96.25 5
6 zuauygdlza 133.65 2
6 dkvdcapnjo 77.85 1
6 yxmanucpul 89.77 1
7 pzhqasxigk 75.41 3
7 rffhuxovoj 103.99 4
7 eraiynfmdm 89.39 5
7 oodwgaaoqc 57.79 3
7 zgaurgbesc 91.71 2
7 mjowckhdtj 129.68 4
8 adygwbynul 80.37 5
8 pbrsikbzdd 61.81 5
8 llzlodlbzx 104.47 1
8 ajbwtqahyz 50.74 5
8 wzkzaeobcw 106.47 2
9 keekjgawig 104.78 4
10 kmvqkqozbr 117.74 5
10 xsoeigzzso 119.29 4
10 tgmwzkzwgf 62.80 1
10 hixhdjylad 83.35 1
10 ivngfiuguz 103.34 1
10 paoqztjbpq 149.81 4
10 brbazzqyro 134.21 4
11 gyrawyihit 139.42 5
11 fufzachtqp 122.22 1
11 claxripexd 92.53 5
11 symznbwzma 142.63 2
11 xiwobuxtya 144.00 2
12 exgqivncav 106.62 1
12 hygvmxsodf 55.84 3
12 ewdkwaydbn 114.60 2
12 skxzsbrzds 148.71 4
12 sjznumzvhh 58.55 4
12 bbprbuqxiv 124.82 4
13 yaltdutljp 105.87 5
14 dmrirtbzba 131.97 1
14 rjzaoktrrl 143.60 2
14 ojvsqjidgk 135.53 4
14 mqlmilkpli 130.43 4
14 qspdazxkrn 74.69 4
14 dvqxgiyavr 143.03 3
14 jmbbgbkhiy 88.08 3
15 wlnaionjkm 64.13 4
15 tsgueobrfy 146.24 1
15 hcdiocxdfk 93.55 4
15 wqtyxqgpym 93.40 2
15 xkmqzwqkuu 54.61 4
15 ropqzehnmg 56.21 4
15 wczzqjbvpa 118.36 2
16 blriskrtst 149.59 5
16 oordnuwiiz 80.78 4
16 rzxchepgsl 116.54 2
16 hhmaqxcydl 118.04 4
17 aosaqeifik 64.34 3
17 ejkflqubwq 145.91 2
17 vsqzjukflc 143.76 4
18 xtougyftpi 85.05 1
18 yfjsghsaxd 113.60 2
18 oxjriltgwn 57.91 3
18 xfpyempmqm 149.32 5
19 pczxjwhykm 115.65 5
19 qrdlmiwszw 125.31 4
19 fkjfjxrrdg 115.23 4
19 wcbsgpibaj 81.93 2
19 cssywstwlt 93.63 5
19 abqtsbaelx 132.22 4
19 tjqrylbwqp 61.78 1
20 ctkhxadsqs 65.27 5
20 uprtginqmn 86.87 3
21 woivsuwogn 79.34 1
21 razvtnqolb 86.25 2
21 dlqssroyzb 142.08 2
21 dcmonwqwdw 129.19 4
21 hidtenhzeb 91.01 2
21 enkgbynerp 120.07 1
22 mriumdwanb 120.77 2
23 elwanoovlg 108.40 4
23 wiwymkgcjj 90.12 2
24 hrqgivwgij 55.45 5
24 pnbkrjuvza 116.26 5
24 wtncpanuns 77.11 4
24 ymeaucviwh 72.80 1
24 hfhsecreve 83.06 5
25 vdeuhkpjbd 132.80 3
26 odweonqwwi 70.40 3
26 xefwcqtazg 111.23 5
26 srkjdaplwg 108.87 5
27 rwasjxnzin 74.02 1
27 yrjgqdxide 54.47 2
27 etmgejbiuw 144.23 5
27 tecpatzzdb 127.58 4
27 oxtwenuysx 116.07 3
28 lpiqixjbtq 131.96 4
28 mtxsiqjven 51.73 1
28 fwpehecltt 80.15 1
28 xqglxpvnif 109.59 5
28 pnhpofdaoz 147.25 5
28 lcesnneazu 68.47 5
29 audlxuwvkj 62.46 3
29 ybkbteuiwk 52.13 2
29 avbkvutetp 78.70 3
30 huuienfbck 126.85 3
30 lgiafkxzxm 76.10 5
