30 5 10000
1 nvqwqeheab 94.16 1
1 tehdivqemv 112.14 4
1 jkcolohsim 58.88 5
1 cvdclyxxaw 136.06 5
1 nwxzbebuzb 73.23 3
2 erlirtnunw 114.46 2
2 egsvayylrt 143.08 5
3 pfvmbmcqkt 119.39 1
3 bhefggrvhr 80.10 4
4 bpsdtduwxl 99.09 1
4 xpnpispsky 120.84 5
4 ovjlrxrxxv 89.01 2
4 wzumnwoijp 83.67 4
4 azekivtjgw 94.97 3
5 gqfltdnysn 131.66 2
5 diqtuohbmn 140.44 2
5 aakzrrdysf 100.39 4
5 fpsvyhtouf 127.01 5
5 cpjonuawsc 133.42 2
6 gwuvqetwwg 70.53 5
6 vatdhhiafz 112.20 2
7 pwvbzncnoa 51.06 3
7 ktfculdkgo 123.66 1
7 xyahpndxns 103.69 1
7 vseyxvkoup 116.39 1
7 mwetirxpkd 112.92 4
8 kzocqfoqsx 112.14 2
8 dzqkpzmaro 91.62 3
8 wxeitdsoyp 104.42 5
8 dxnrmnvkev 54.98 2
8 lkffweegvt 88.39 3
9 kjfalgbxfm 128.15 4
9 eikukdstre 87.16 5
9 ucaimrgese 60.16 1
9 quyffckuro 92.84 5
10 iylfvtxbbz 123.45 3
10 uovzwvdbzx 73.32 3
11 fftrkvhrnj 126.63 4
11 ggcusfaocl 97.53 4
11 vqnuysbvhk 81.58 2
11 xvvbojptve 130.27 1
11 mnldcwcfyz 104.96 2
12 kphfsoviav 116.11 5
12 cdxgpuoekf 102.56 5
12 fljnmsbxfk 138.98 3
12 ftanimywrw 57.68 5
12 lpgzilowjv 124.11 3
13 husllgdmez 93.93 4
13 epsrlbmkfc 113.51 1
13 jlhxkayewk 132.25 2
13 aqrunkvkrh 56.97 4
13 ekmgypmrjh 118.86 3
14 oriqvlitqb 129.44 1
14 viagdlmops 131.21 5
15 edkbzdphmc 88.96 4
15 bppzwrzufd 140.34 1
15 qnakzjfvhl 91.69 3
15 hauzcknlvh 58.75 4
15 ujxihevstf 118.42 3
16 zufwegvsld 65.65 5
16 dflwbpwpxk 89.00 5
16 ponxqdrjhq 139.96 5
17 dxbambtcbm 133.03 5
17 ijfnjjpklt 92.91 3
17 yyzgsunfxh 108.47 5
17 tyuvkwlxea 111.00 2
17 bflhwbormp 78.39 3
18 nhxivgdhpy 114.33 4
18 wmeqdomenk 138.99 5
18 jtvjoshson 88.84 2
19 jtnqcrrjbr 148.27 3
20 tzlmuzznsf 141.35 4
20 dpzuikypki 52.16 2
20 utepnxyemy 123.91 5
20 paknslvmul 63.12 1
20 ellsuracet 143.61 3
21 zfwdhyqpvx 93.86 1
21 ugmxkufttr 131.26 5
21 nkjjindjmb 130.34 1
21 epyprdzqlc 112.10 1
22 leduvpgudx 94.09 2
22 scasywvtct 93.58 1
22 trupgwlibk 120.03 5
23 arcmxmugaf 105.02 3
23 grpcvhifgn 147.97 2
24 bbhdwiklzo 51.78 2
25 xwsqrnyfoh 124.34 3
25 huyhisakzr 141.62 3
25 ndylsckbph 145.77 4
25 egajbqxciv 144.58 4
26 kdvzbeqrxe 114.50 1
26 ggxdldmntk 89.91 5
27 gfmkbublij 68.35 5
27 ptuwzjwdjg 134.33 3
27 japxwvpkce 66.74 3
28 hxrihyebpn 60.37 5
28 liutmdocxu 117.88 3
28 xhaojethmd 76.23 3
29 hqhyjfiuty 139.24 3
29 jhrjjwuxjp 66.62 5
29 rwizbtvgnq 126.48 3
29 atyqgemlxr 114.43 4
30 jayuhvnaum 54.24 2
30 cjesiqeweb 115.63 5
30 asnkvtenwz 80.48 4
